[],,,,,,,,,,,,,,,,,,,,
[{'text': 'blind beggar', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.943787, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}, {'text': '12th child', 'sentiment': {'score': -0.297065, 'label': 'negative'}, 'relevance': 0.837268, 'emotion': {'sadness': 0.612302, 'joy': 0.097384, 'fear': 0.030497, 'disgust': 0.079608, 'anger': 0.136136}}],,,
[{'text': 'hip hop doctor', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.936367, 'emotion': {'sadness': 0.339593, 'joy': 0.215257, 'fear': 0.211106, 'disgust': 0.054203, 'anger': 0.012316}}, {'text': 'Dr. Sidney Hankerson', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.76053, 'emotion': {'sadness': 0.137972, 'joy': 0.547084, 'fear': 0.037667, 'disgust': 0.050822, 'anger': 0.064917}}],,,
[{'text': 'berdasarkan lama batuknya', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.938474, 'emotion': {'sadness': 0.095723, 'joy': 0.344303, 'fear': 0.049255, 'disgust': 0.056145, 'anger': 0.057564}}, {'text': 'Ada dua jenis', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.911695, 'emotion': {'sadness': 0.102976, 'joy': 0.32471, 'fear': 0.055417, 'disgust': 0.053171, 'anger': 0.055195}}],,,
[{'text': 'confidence', 'sentiment': {'score': -0.0907393, 'label': 'negative'}, 'relevance': 0.983548, 'emotion': {'sadness': 0.017619, 'joy': 0.67673, 'fear': 0.096838, 'disgust': 0.008792, 'anger': 0.007306}}, {'text': '~Vince Lombardi~', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.860066, 'emotion': {'sadness': 0.078548, 'joy': 0.558635, 'fear': 0.06204, 'disgust': 0.023472, 'anger': 0.053688}}],,,
[{'text': 'FUCK', 'sentiment': {'score': -0.55564, 'label': 'negative'}, 'relevance': 0.902662, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.767442}}],,,,,,,,,,,,
[{'text': 'Vitamin C yang', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.911239, 'emotion': {'sadness': 0.126709, 'joy': 0.090568, 'fear': 0.127981, 'disgust': 0.043995, 'anger': 0.043503}}, {'text': 'yang berguna dalam', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.767496, 'emotion': {'sadness': 0.099909, 'joy': 0.056478, 'fear': 0.119062, 'disgust': 0.037445, 'anger': 0.03212}}],,,
[{'text': 'Influenza Espa', 'sentiment': {'score': 0.463477, 'label': 'positive'}, 'relevance': 0.944959, 'emotion': {'sadness': 0.207453, 'joy': 0.349839, 'fear': 0.088527, 'disgust': 0.076866, 'anger': 0.026256}}, {'text': 'Versalles y la', 'sentiment': {'score': 0.463477, 'label': 'positive'}, 'relevance': 0.758818, 'emotion': {'sadness': 0.207453, 'joy': 0.349839, 'fear': 0.088527, 'disgust': 0.076866, 'anger': 0.026256}}],,,
[{'text': 'https://t.co/indKPEStLH', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.979771, 'emotion': {'sadness': 0.103877, 'joy': 0.0276, 'fear': 0.087274, 'disgust': 0.107257, 'anger': 0.875455}}],,,,,,,,,,,,
[{'text': 'Humility', 'sentiment': {'score': 0.90339, 'label': 'positive'}, 'relevance': 0.974022, 'emotion': {'sadness': 0.045925, 'joy': 0.226112, 'fear': 0.053776, 'disgust': 0.197107, 'anger': 0.031273}}, {'text': 'lo', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.810794, 'emotion': {'sadness': 0.405336, 'joy': 0.05455, 'fear': 0.325654, 'disgust': 0.183507, 'anger': 0.100352}}],,,
[{'text': 'fuzzy insi', 'sentiment': {'score': -0.351206, 'label': 'negative'}, 'relevance': 0.968737, 'emotion': {'sadness': 0.323502, 'joy': 0.337917, 'fear': 0.128394, 'disgust': 0.062167, 'anger': 0.072621}}, {'text': 'RT', 'sentiment': {'score': 0.520862, 'label': 'positive'}, 'relevance': 0.763884, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'great nation', 'sentiment': {'score': -0.861217, 'label': 'negative'}, 'relevance': 0.916698, 'emotion': {'sadness': 0.025453, 'joy': 0.691439, 'fear': 0.026782, 'disgust': 0.118116, 'anger': 0.043292}}, {'text': 'leader', 'sentiment': {'score': -0.861217, 'label': 'negative'}, 'relevance': 0.603082, 'emotion': {'sadness': 0.025453, 'joy': 0.691439, 'fear': 0.026782, 'disgust': 0.118116, 'anger': 0.043292}}],,,
[{'text': 'moratorium', 'sentiment': {'score': -0.281812, 'label': 'negative'}, 'relevance': 0.978528, 'emotion': {'sadness': 0.1929, 'joy': 0.137815, 'fear': 0.13696, 'disgust': 0.063102, 'anger': 0.190919}}, {'text': 'RT', 'sentiment': {'score': 0.229186, 'label': 'positive'}, 'relevance': 0.884921, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'New guinea', 'sentiment': {'score': -0.347871, 'label': 'negative'}, 'relevance': 0.957231, 'emotion': {'sadness': 0.662257, 'joy': 0.061665, 'fear': 0.409431, 'disgust': 0.004871, 'anger': 0.078612}}, {'text': 'brain disease', 'sentiment': {'score': -0.347871, 'label': 'negative'}, 'relevance': 0.84227, 'emotion': {'sadness': 0.662257, 'joy': 0.061665, 'fear': 0.409431, 'disgust': 0.004871, 'anger': 0.078612}}],,,
[{'text': 'el medio', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.983434, 'emotion': {'sadness': 0.207386, 'joy': 0.219682, 'fear': 0.093324, 'disgust': 0.091614, 'anger': 0.056911}}, {'text': 'la Universidad', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.954552, 'emotion': {'sadness': 0.207386, 'joy': 0.219682, 'fear': 0.093324, 'disgust': 0.091614, 'anger': 0.056911}}],,,
[{'text': 'recent  debacle', 'sentiment': {'score': -0.479616, 'label': 'negative'}, 'relevance': 0.93212}, {'text': 'secrecy', 'sentiment': {'score': -0.479616, 'label': 'negative'}, 'relevance': 0.699616, 'emotion': {'sadness': 0.08071, 'joy': 0.143822, 'fear': 0.1789, 'disgust': 0.112851, 'anger': 0.220533}}],,,,,,,,
[],,,,,,,,,,,,,,,,,,,,
[],,,,,,,,,,,,,,,,,,,,
[{'text': 'Hey', 'sentiment': {'score': 0.537713, 'label': 'positive'}, 'relevance': 0.904627, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}, {'text': 'hands', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.751366, 'emotion': {'sadness': 0.036245, 'joy': 0.103536, 'fear': 0.428468, 'disgust': 0.500678, 'anger': 0.031591}}],,,
[{'text': 'contagious insanity', 'sentiment': {'score': -0.351117, 'label': 'negative'}, 'relevance': 0.932047, 'emotion': {'sadness': 0.149724, 'joy': 0.200418, 'fear': 0.386765, 'disgust': 0.107786, 'anger': 0.026834}}, {'text': 'Alex Jones', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.796325, 'emotion': {'sadness': 0.283709, 'joy': 0.190581, 'fear': 0.118406, 'disgust': 0.209908, 'anger': 0.092146}}],,,
[{'text': 'shit', 'sentiment': {'score': -0.558107, 'label': 'negative'}, 'relevance': 0.969863, 'emotion': {'sadness': 0.148831, 'joy': 0.179551, 'fear': 0.091248, 'disgust': 0.074744, 'anger': 0.088473}}, {'text': 'kid', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.855879, 'emotion': {'sadness': 0.239141, 'joy': 0.224134, 'fear': 0.122642, 'disgust': 0.190388, 'anger': 0.142668}}],,,
[{'text': 'American Idol', 'sentiment': {'score': 0.929932, 'label': 'positive'}, 'relevance': 0.998669, 'emotion': {'sadness': 0.158571, 'joy': 0.394468, 'fear': 0.037499, 'disgust': 0.400983, 'anger': 0.080876}}, {'text': 'fresh air', 'sentiment': {'score': 0.668809, 'label': 'positive'}, 'relevance': 0.844951, 'emotion': {'sadness': 0.046118, 'joy': 0.642668, 'fear': 0.136229, 'disgust': 0.067031, 'anger': 0.041733}}],,,
[{'text': 'cowards', 'sentiment': {'score': -0.574175, 'label': 'negative'}, 'relevance': 0.922143, 'emotion': {'sadness': 0.430576, 'joy': 0.041809, 'fear': 0.158449, 'disgust': 0.220738, 'anger': 0.440733}}, {'text': 'type', 'sentiment': {'score': -0.574175, 'label': 'negative'}, 'relevance': 0.596702, 'emotion': {'sadness': 0.430576, 'joy': 0.041809, 'fear': 0.158449, 'disgust': 0.220738, 'anger': 0.440733}}],,,
[{'text': 'Motivation', 'sentiment': {'score': -0.295403, 'label': 'negative'}, 'relevance': 0.960225, 'emotion': {'sadness': 0.159789, 'joy': 0.390805, 'fear': 0.064999, 'disgust': 0.013478, 'anger': 0.021348}}, {'text': 'passion', 'sentiment': {'score': -0.536007, 'label': 'negative'}, 'relevance': 0.833374, 'emotion': {'sadness': 0.103258, 'joy': 0.551615, 'fear': 0.054953, 'disgust': 0.126598, 'anger': 0.078856}}],,,
[{'text': 'Cannes Lions deadline', 'sentiment': {'score': -0.259531, 'label': 'negative'}, 'relevance': 0.974466, 'emotion': {'sadness': 0.188782, 'joy': 0.096457, 'fear': 0.447097, 'disgust': 0.062746, 'anger': 0.035626}}, {'text': 'awards entries', 'sentiment': {'score': 0.489026, 'label': 'positive'}, 'relevance': 0.731839, 'emotion': {'sadness': 0.096551, 'joy': 0.330556, 'fear': 0.226993, 'disgust': 0.075002, 'anger': 0.07341}}],,,
[{'text': 'foodborne illness', 'sentiment': {'score': -0.262565, 'label': 'negative'}, 'relevance': 0.987181, 'emotion': {'sadness': 0.606406, 'joy': 0.086474, 'fear': 0.314615, 'disgust': 0.028368, 'anger': 0.160294}}, {'text': 'https://t.co/eHu2kaw5LQ https://t.co/zsdCWW4jAm', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.750183, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'para el virus', 'sentiment': {'score': -0.257681, 'label': 'negative'}, 'relevance': 0.991409, 'emotion': {'sadness': 0.160043, 'joy': 0.178093, 'fear': 0.179958, 'disgust': 0.096867, 'anger': 0.083261}}, {'text': 'Estudio di', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.774549, 'emotion': {'sadness': 0.148831, 'joy': 0.176959, 'fear': 0.091248, 'disgust': 0.095497, 'anger': 0.088473}}],,,
[{'text': 'Delayed diagnosis defers', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.947568, 'emotion': {'sadness': 0.224927, 'joy': 0.078715, 'fear': 0.240263, 'disgust': 0.02503, 'anger': 0.2239}}, {'text': 'slower path', 'sentiment': {'score': -0.600924, 'label': 'negative'}, 'relevance': 0.83025, 'emotion': {'sadness': 0.501492, 'joy': 0.19517, 'fear': 0.290254, 'disgust': 0.014786, 'anger': 0.157657}}],,,
[{'text': 'los grupos prioritarios', 'sentiment': {'score': -0.45819, 'label': 'negative'}, 'relevance': 0.994189, 'emotion': {'sadness': 0.224431, 'joy': 0.373865, 'fear': 0.126897, 'disgust': 0.08432, 'anger': 0.035129}}, {'text': 'contra la influenza', 'sentiment': {'score': -0.284799, 'label': 'negative'}, 'relevance': 0.992164, 'emotion': {'sadness': 0.153006, 'joy': 0.103224, 'fear': 0.057204, 'disgust': 0.039956, 'anger': 0.044479}}],,,
[{'text': 'Rebecca Hiles', 'sentiment': {'score': -0.473349, 'label': 'negative'}, 'relevance': 0.93338, 'emotion': {'sadness': 0.455982, 'joy': 0.075252, 'fear': 0.211334, 'disgust': 0.120785, 'anger': 0.350873}}, {'text': 'unexplained coughing', 'sentiment': {'score': -0.473349, 'label': 'negative'}, 'relevance': 0.920722, 'emotion': {'sadness': 0.455982, 'joy': 0.075252, 'fear': 0.211334, 'disgust': 0.120785, 'anger': 0.350873}}],,,
[{'text': 'break blues', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.941096, 'emotion': {'sadness': 0.603044, 'joy': 0.018415, 'fear': 0.193043, 'disgust': 0.077108, 'anger': 0.288939}}, {'text': 'amazing projects', 'sentiment': {'score': 0.710013, 'label': 'positive'}, 'relevance': 0.842629, 'emotion': {'sadness': 0.002556, 'joy': 0.961854, 'fear': 0.02, 'disgust': 0.006224, 'anger': 0.005282}}],,,
[{'text': 'Kyrie', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.934604, 'emotion': {'sadness': 0.059935, 'joy': 0.118229, 'fear': 0.159394, 'disgust': 0.076458, 'anger': 0.028337}}, {'text': 'https://t.co/4qlB0TSgPM', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.685838, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'turmoil', 'sentiment': {'score': -0.499864, 'label': 'negative'}, 'relevance': 0.929595, 'emotion': {'sadness': 0.360191, 'joy': 0.418825, 'fear': 0.064464, 'disgust': 0.042906, 'anger': 0.087813}}, {'text': 'mischief', 'sentiment': {'score': -0.867449, 'label': 'negative'}, 'relevance': 0.843338, 'emotion': {'sadness': 0.086438, 'joy': 0.318971, 'fear': 0.084936, 'disgust': 0.043262, 'anger': 0.139786}}],,,
[{'text': 'lights', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.966031, 'emotion': {'sadness': 0.273577, 'joy': 0.124952, 'fear': 0.558241, 'disgust': 0.074189, 'anger': 0.185206}}],,,,,,,,,,,,
[],,,,,,,,,,,,,,,,,,,,
[{'text': 'energy', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.94062, 'emotion': {'sadness': 0.020452, 'joy': 0.340803, 'fear': 0.299507, 'disgust': 0.025698, 'anger': 0.029857}}],,,,,,,,,,,,
[{'text': 'negative ass person', 'sentiment': {'score': -0.530989, 'label': 'negative'}, 'relevance': 0.970904, 'emotion': {'sadness': 0.302929, 'joy': 0.126609, 'fear': 0.190203, 'disgust': 0.216247, 'anger': 0.234857}}, {'text': 'people', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.475681, 'emotion': {'sadness': 0.454933, 'joy': 0.165264, 'fear': 0.055327, 'disgust': 0.208213, 'anger': 0.232647}}],,,
[{'text': 'bowel infection', 'sentiment': {'score': -0.859097, 'label': 'negative'}, 'relevance': 0.991193, 'emotion': {'sadness': 0.253201, 'joy': 0.013273, 'fear': 0.467755, 'disgust': 0.20336, 'anger': 0.267962}}, {'text': 'Careful.', 'sentiment': {'score': -0.859097, 'label': 'negative'}, 'relevance': 0.607987}],,,,,,,,
[{'text': 'influenza virus', 'sentiment': {'score': -0.52703, 'label': 'negative'}, 'relevance': 0.980569, 'emotion': {'sadness': 0.36029, 'joy': 0.058573, 'fear': 0.21417, 'disgust': 0.148129, 'anger': 0.127882}}, {'text': 'detailed modelling', 'sentiment': {'score': -0.52703, 'label': 'negative'}, 'relevance': 0.879898, 'emotion': {'sadness': 0.36029, 'joy': 0.058573, 'fear': 0.21417, 'disgust': 0.148129, 'anger': 0.127882}}],,,
[{'text': 'Theres', 'sentiment': {'score': -0.438017, 'label': 'negative'}, 'relevance': 0.912145, 'emotion': {'sadness': 0.256721, 'joy': 0.363762, 'fear': 0.191705, 'disgust': 0.039189, 'anger': 0.147106}}, {'text': 'chubby', 'sentiment': {'score': -0.438017, 'label': 'negative'}, 'relevance': 0.756969, 'emotion': {'sadness': 0.256721, 'joy': 0.363762, 'fear': 0.191705, 'disgust': 0.039189, 'anger': 0.147106}}],,,
[{'text': 'Repression', 'sentiment': {'score': -0.491217, 'label': 'negative'}, 'relevance': 0.957324, 'emotion': {'sadness': 0.148831, 'joy': 0.179551, 'fear': 0.091248, 'disgust': 0.074744, 'anger': 0.088473}}, {'text': 'Mira', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.923522, 'emotion': {'sadness': 0.148831, 'joy': 0.179551, 'fear': 0.091248, 'disgust': 0.074744, 'anger': 0.088473}}],,,
[{'text': 'scary virus', 'sentiment': {'score': -0.420654, 'label': 'negative'}, 'relevance': 0.909098, 'emotion': {'sadness': 0.088692, 'joy': 0.01787, 'fear': 0.910849, 'disgust': 0.064, 'anger': 0.047563}}, {'text': 'Pet owners', 'sentiment': {'score': 0.313873, 'label': 'positive'}, 'relevance': 0.713423, 'emotion': {'sadness': 0.095214, 'joy': 0.171532, 'fear': 0.033489, 'disgust': 0.229949, 'anger': 0.412157}}],,,
[{'text': 'Wilson Avenue', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.906363, 'emotion': {'sadness': 0.406863, 'joy': 0.052113, 'fear': 0.269002, 'disgust': 0.057158, 'anger': 0.169144}}, {'text': 'Jane Street', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.800535, 'emotion': {'sadness': 0.406863, 'joy': 0.052113, 'fear': 0.269002, 'disgust': 0.057158, 'anger': 0.169144}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.648947, 'label': 'negative'}, 'relevance': 0.908692, 'emotion': {'sadness': 0.766698, 'joy': 0.045874, 'fear': 0.333954, 'disgust': 0.001325, 'anger': 0.023467}}, {'text': 'sponsor', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.793009, 'emotion': {'sadness': 0.244449, 'joy': 0.19502, 'fear': 0.103354, 'disgust': 0.054273, 'anger': 0.084869}}],,,
[{'text': 'Si ha tiene', 'sentiment': {'score': -0.31293, 'label': 'negative'}, 'relevance': 0.946903, 'emotion': {'sadness': 0.01782, 'joy': 0.530856, 'fear': 0.267526, 'disgust': 0.03962, 'anger': 0.067274}}, {'text': 'al menos para', 'sentiment': {'score': -0.448913, 'label': 'negative'}, 'relevance': 0.894519, 'emotion': {'sadness': 0.011611, 'joy': 0.066385, 'fear': 0.06573, 'disgust': 0.025918, 'anger': 0.02883}}],,,
[{'text': '  Seasonal  activity', 'sentiment': {'score': -0.65496, 'label': 'negative'}, 'relevance': 0.983439}, {'text': 'guard', 'sentiment': {'score': -0.321538, 'label': 'negative'}, 'relevance': 0.685609, 'emotion': {'sadness': 0.442011, 'joy': 0.107499, 'fear': 0.214162, 'disgust': 0.11928, 'anger': 0.293431}}],,,,,,,,
[{'text': 'Volunteer Emma Challis', 'sentiment': {'score': 0.462379, 'label': 'positive'}, 'relevance': 0.927006, 'emotion': {'sadness': 0.110811, 'joy': 0.604361, 'fear': 0.017488, 'disgust': 0.036249, 'anger': 0.039364}}, {'text': 'life-threatening blood clotti', 'sentiment': {'score': -0.400389, 'label': 'negative'}, 'relevance': 0.788902, 'emotion': {'sadness': 0.306719, 'joy': 0.09495, 'fear': 0.531437, 'disgust': 0.096638, 'anger': 0.273264}}],,,
[{'text': 'playoffs coug', 'sentiment': {'score': 0.539131, 'label': 'positive'}, 'relevance': 0.97109, 'emotion': {'sadness': 0.230165, 'joy': 0.443406, 'fear': 0.036604, 'disgust': 0.071776, 'anger': 0.073913}}, {'text': 'turnover rate', 'sentiment': {'score': -0.439705, 'label': 'negative'}, 'relevance': 0.865723, 'emotion': {'sadness': 0.418848, 'joy': 0.171335, 'fear': 0.203407, 'disgust': 0.207133, 'anger': 0.150512}}],,,
[{'text': 'joy', 'sentiment': {'score': 0.964088, 'label': 'positive'}, 'relevance': 0.905473, 'emotion': {'sadness': 0.00701, 'joy': 0.951715, 'fear': 0.012023, 'disgust': 0.004409, 'anger': 0.005638}}, {'text': 'singing.', 'sentiment': {'score': 0.964088, 'label': 'positive'}, 'relevance': 0.769015, 'emotion': {'sadness': 0.00701, 'joy': 0.951715, 'fear': 0.012023, 'disgust': 0.004409, 'anger': 0.005638}}],,,
[{'text': 'chilango2 Thanks', 'sentiment': {'score': 0.682131, 'label': 'positive'}, 'relevance': 0.92223}, {'text': 'RT', 'sentiment': {'score': 0.510682, 'label': 'positive'}, 'relevance': 0.787749, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,,,,,,
[{'text': 'contagious nationalism', 'sentiment': {'score': -0.502117, 'label': 'negative'}, 'relevance': 0.950786, 'emotion': {'sadness': 0.151517, 'joy': 0.189944, 'fear': 0.104548, 'disgust': 0.201447, 'anger': 0.104153}}, {'text': 're-emerging nation', 'sentiment': {'score': -0.502117, 'label': 'negative'}, 'relevance': 0.837846, 'emotion': {'sadness': 0.151517, 'joy': 0.189944, 'fear': 0.104548, 'disgust': 0.201447, 'anger': 0.104153}}],,,
[{'text': 'individual homeless veterans', 'sentiment': {'score': -0.553725, 'label': 'negative'}, 'relevance': 0.994063, 'emotion': {'sadness': 0.164924, 'joy': 0.117008, 'fear': 0.053957, 'disgust': 0.509199, 'anger': 0.073639}}, {'text': 'male homeless population', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.886674, 'emotion': {'sadness': 0.272492, 'joy': 0.031784, 'fear': 0.048228, 'disgust': 0.316963, 'anger': 0.07361}}],,,
[{'text': 'pink eye', 'sentiment': {'score': -0.624044, 'label': 'negative'}, 'relevance': 0.974851, 'emotion': {'sadness': 0.351339, 'joy': 0.186411, 'fear': 0.101656, 'disgust': 0.153004, 'anger': 0.203755}}, {'text': 'time', 'sentiment': {'score': -0.624044, 'label': 'negative'}, 'relevance': 0.52757, 'emotion': {'sadness': 0.351339, 'joy': 0.186411, 'fear': 0.101656, 'disgust': 0.153004, 'anger': 0.203755}}],,,
[{'text': 'Ive', 'sentiment': {'score': -0.354799, 'label': 'negative'}, 'relevance': 0.952629, 'emotion': {'sadness': 0.495444, 'joy': 0.085694, 'fear': 0.060707, 'disgust': 0.085575, 'anger': 0.222973}}, {'text': 'Hey', 'sentiment': {'score': 0.43785, 'label': 'positive'}, 'relevance': 0.836691, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'Hotshot hedge fund', 'sentiment': {'score': -0.322198, 'label': 'negative'}, 'relevance': 0.989185, 'emotion': {'sadness': 0.072624, 'joy': 0.048583, 'fear': 0.018182, 'disgust': 0.216894, 'anger': 0.161902}}, {'text': 'manager Bobby Axelrod', 'sentiment': {'score': -0.322198, 'label': 'negative'}, 'relevance': 0.9746, 'emotion': {'sadness': 0.072624, 'joy': 0.048583, 'fear': 0.018182, 'disgust': 0.216894, 'anger': 0.161902}}],,,
[{'text': 'smile is.', 'sentiment': {'score': 0.786801, 'label': 'positive'}, 'relevance': 0.972921, 'emotion': {'sadness': 0.045855, 'joy': 0.772617, 'fear': 0.097732, 'disgust': 0.089922, 'anger': 0.00905}}, {'text': 'camera', 'sentiment': {'score': 0.786801, 'label': 'positive'}, 'relevance': 0.746889, 'emotion': {'sadness': 0.045855, 'joy': 0.772617, 'fear': 0.097732, 'disgust': 0.089922, 'anger': 0.00905}}],,,
[{'text': 'mental illness', 'sentiment': {'score': -0.569221, 'label': 'negative'}, 'relevance': 0.99855, 'emotion': {'sadness': 0.863962, 'joy': 0.048029, 'fear': 0.053879, 'disgust': 0.002535, 'anger': 0.085429}}, {'text': 'shit', 'sentiment': {'score': -0.696428, 'label': 'negative'}, 'relevance': 0.886746, 'emotion': {'sadness': 0.057008, 'joy': 0.001973, 'fear': 0.645449, 'disgust': 0.092628, 'anger': 0.557114}}],,,
[{'text': 'better people', 'sentiment': {'score': 0.718643, 'label': 'positive'}, 'relevance': 0.920681, 'emotion': {'sadness': 0.255209, 'joy': 0.573601, 'fear': 0.019522, 'disgust': 0.063263, 'anger': 0.059886}}, {'text': 'https://t.co/w824882oD7', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.573976, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}],,,
[{'text': 'https://t.co/Cffr2nSnDr https://t.co/4FxzYtaDkp', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.994525, 'emotion': {'sadness': 0.0, 'joy': 0.0, 'fear': 0.0, 'disgust': 0.0, 'anger': 0.0}}, {'text': 'restore', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.847877, 'emotion': {'sadness': 0.073665, 'joy': 0.052554, 'fear': 0.197448, 'disgust': 0.041673, 'anger': 0.05033}}],,,
[{'text': 'Contagious agik-ik yaha', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.969489, 'emotion': {'sadness': 0.075339, 'joy': 0.096922, 'fear': 0.161021, 'disgust': 0.057424, 'anger': 0.037368}}, {'text': 'hahahahahaha', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.49377, 'emotion': {'sadness': 0.075339, 'joy': 0.096922, 'fear': 0.161021, 'disgust': 0.057424, 'anger': 0.037368}}],,,
[{'text': 'viral trend', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.934588, 'emotion': {'sadness': 0.075493, 'joy': 0.323179, 'fear': 0.118415, 'disgust': 0.200554, 'anger': 0.040131}}, {'text': 'sneeze', 'sentiment': {'score': -0.607939, 'label': 'negative'}, 'relevance': 0.818618, 'emotion': {'sadness': 0.046087, 'joy': 0.020457, 'fear': 0.109823, 'disgust': 0.470827, 'anger': 0.054681}}],,,
[{'text': 'Persistent dry cough', 'sentiment': {'score': -0.690058, 'label': 'negative'}, 'relevance': 0.922374, 'emotion': {'sadness': 0.124779, 'joy': 0.012957, 'fear': 0.379942, 'disgust': 0.362013, 'anger': 0.285}}, {'text': 'fever', 'sentiment': {'score': -0.690058, 'label': 'negative'}, 'relevance': 0.563181, 'emotion': {'sadness': 0.124779, 'joy': 0.012957, 'fear': 0.379942, 'disgust': 0.362013, 'anger': 0.285}}],,,
[{'text': 'Ironic', 'sentiment': {'score': -0.537551, 'label': 'negative'}, 'relevance': 0.932669, 'emotion': {'sadness': 0.489145, 'joy': 0.064115, 'fear': 0.204911, 'disgust': 0.266896, 'anger': 0.179821}}, {'text': 'Democrats', 'sentiment': {'score': -0.537551, 'label': 'negative'}, 'relevance': 0.898429, 'emotion': {'sadness': 0.489145, 'joy': 0.064115, 'fear': 0.204911, 'disgust': 0.266896, 'anger': 0.179821}}],,,
[{'text': 'perfect condition', 'sentiment': {'score': -0.731588, 'label': 'negative'}, 'relevance': 0.923246, 'emotion': {'sadness': 0.157575, 'joy': 0.610188, 'fear': 0.120976, 'disgust': 0.019987, 'anger': 0.017407}}, {'text': 'vac', 'sentiment': {'score': -0.731588, 'label': 'negative'}, 'relevance': 0.790563, 'emotion': {'sadness': 0.157575, 'joy': 0.610188, 'fear': 0.120976, 'disgust': 0.019987, 'anger': 0.017407}}],,,
[{'text': 'Telugu Health Tips', 'sentiment': {'score': 0.0, 'label': 'neutral'}, 'relevance': 0.955898, 'emotion': {'sadness': 0.039263, 'joy': 0.716692, 'fear': 0.111889, 'disgust': 0.017974, 'anger': 0.010454}}, {'text': 'humans', 'sentiment': {'score': -0.643944, 'label': 'negative'}, 'relevance': 0.524058, 'emotion': {'sadness': 0.062617, 'joy': 0.067631, 'fear': 0.14098, 'disgust': 0.23353, 'anger': 0.037585}}],,,
